    nm         	nm
3.481147e+001	-1.153529e+000
3.488040e+001	-1.046224e+000
3.494933e+001	-1.126703e+000
3.501827e+001	-1.180356e+000
3.508720e+001	-1.126703e+000
3.515613e+001	-1.153529e+000
3.522507e+001	-1.126703e+000
3.529400e+001	-1.126703e+000
3.536293e+001	-1.207182e+000
3.543187e+001	-1.019398e+000
3.550080e+001	-1.126703e+000
3.556973e+001	-1.126703e+000
3.563867e+001	-1.099877e+000
3.570760e+001	-1.046224e+000
3.577653e+001	-1.046224e+000
3.584547e+001	-1.153529e+000
3.591440e+001	-1.153529e+000
3.598333e+001	-1.153529e+000
3.605227e+001	-1.153529e+000
3.612120e+001	-1.153529e+000
3.619013e+001	-1.180356e+000
3.625907e+001	-1.126703e+000
3.632800e+001	-1.180356e+000
3.639693e+001	-1.180356e+000
3.646587e+001	-1.207182e+000
3.653480e+001	-1.234008e+000
3.660373e+001	-1.099877e+000
3.667267e+001	-1.099877e+000
3.674160e+001	-1.046224e+000
3.681053e+001	-1.180356e+000
3.687947e+001	-1.314487e+000
3.694840e+001	-1.126703e+000
3.701733e+001	-1.180356e+000
3.708627e+001	-1.207182e+000
3.715520e+001	-1.126703e+000
3.722413e+001	-9.925719e-001
3.729307e+001	-1.073051e+000
3.736200e+001	-1.153529e+000
3.743093e+001	-1.126703e+000
3.749987e+001	-1.180356e+000
3.756880e+001	-1.019398e+000
3.763773e+001	-1.046224e+000
3.770667e+001	-1.153529e+000
3.777560e+001	-1.046224e+000
3.784453e+001	-1.046224e+000
3.791347e+001	-1.099877e+000
3.798240e+001	-1.046224e+000
3.805133e+001	-1.153529e+000
3.812027e+001	-1.180356e+000
3.818920e+001	-1.260835e+000
3.825813e+001	-1.180356e+000
3.832707e+001	-1.153529e+000
3.839600e+001	-1.207182e+000
3.846493e+001	-1.153529e+000
3.853387e+001	-1.046224e+000
3.860280e+001	-1.126703e+000
3.867173e+001	-1.180356e+000
3.874067e+001	-1.073051e+000
3.880960e+001	-9.389194e-001
3.887853e+001	-1.073051e+000
3.894747e+001	-1.180356e+000
3.901640e+001	-1.073051e+000
3.908533e+001	-1.046224e+000
3.915427e+001	-1.046224e+000
3.922320e+001	-9.925719e-001
3.929213e+001	-1.073051e+000
3.936107e+001	-1.073051e+000
3.943000e+001	-1.234008e+000
3.949893e+001	-1.153529e+000
3.956787e+001	-1.073051e+000
3.963680e+001	-1.153529e+000
3.970573e+001	-1.153529e+000
3.977467e+001	-9.925719e-001
3.984360e+001	-1.019398e+000
3.991253e+001	-1.099877e+000
3.998147e+001	-1.073051e+000
4.005040e+001	-1.153529e+000
4.011933e+001	-1.153529e+000
4.018827e+001	-1.234008e+000
4.025720e+001	-1.126703e+000
4.032613e+001	-1.207182e+000
4.039507e+001	-1.126703e+000
4.046400e+001	-1.019398e+000
4.053293e+001	-1.073051e+000
4.060186e+001	-1.073051e+000
4.067080e+001	-1.046224e+000
4.073973e+001	-1.099877e+000
4.080866e+001	-1.019398e+000
4.087760e+001	-1.046224e+000
4.094653e+001	-1.153529e+000
4.101546e+001	-1.153529e+000
4.108440e+001	-1.180356e+000
4.115333e+001	-1.073051e+000
4.122226e+001	-1.126703e+000
4.129120e+001	-1.207182e+000
4.136013e+001	-1.234008e+000
4.142906e+001	-1.207182e+000
4.149800e+001	-1.180356e+000
4.156693e+001	-1.153529e+000
4.163586e+001	-1.073051e+000
4.170480e+001	-1.126703e+000
4.177373e+001	-1.126703e+000
4.184266e+001	-1.260835e+000
4.191160e+001	-1.207182e+000
4.198053e+001	-1.207182e+000
4.204946e+001	-1.019398e+000
4.211840e+001	-1.046224e+000
4.218733e+001	-1.126703e+000
4.225626e+001	-1.099877e+000
4.232520e+001	-1.073051e+000
4.239413e+001	-9.657457e-001
4.246306e+001	-9.120931e-001
4.253200e+001	-1.126703e+000
4.260093e+001	-1.153529e+000
4.266986e+001	-1.099877e+000
4.273880e+001	-1.046224e+000
4.280773e+001	-1.153529e+000
4.287666e+001	-1.153529e+000
4.294560e+001	-1.073051e+000
4.301453e+001	-1.180356e+000
4.308346e+001	-1.099877e+000
4.315240e+001	-1.073051e+000
4.322133e+001	-9.389194e-001
4.329026e+001	-1.073051e+000
4.335920e+001	-1.153529e+000
4.342813e+001	-1.153529e+000
4.349706e+001	-1.234008e+000
4.356600e+001	-1.153529e+000
4.363493e+001	-1.126703e+000
4.370386e+001	-1.153529e+000
4.377280e+001	-1.153529e+000
4.384173e+001	-1.234008e+000
4.391066e+001	-1.073051e+000
4.397960e+001	-1.019398e+000
4.404853e+001	-1.126703e+000
4.411746e+001	-1.126703e+000
4.418640e+001	-1.126703e+000
4.425533e+001	-1.126703e+000
4.432426e+001	-1.073051e+000
4.439320e+001	-1.046224e+000
4.446213e+001	-1.019398e+000
4.453106e+001	-1.099877e+000
4.460000e+001	-1.099877e+000
4.466893e+001	-9.657457e-001
4.473786e+001	-1.073051e+000
4.480680e+001	-1.073051e+000
4.487573e+001	-1.046224e+000
4.494466e+001	-1.153529e+000
4.501360e+001	-1.153529e+000
4.508253e+001	-1.073051e+000
4.515146e+001	-1.099877e+000
4.522040e+001	-1.073051e+000
4.528933e+001	-1.153529e+000
4.535826e+001	-1.126703e+000
4.542720e+001	-1.046224e+000
4.549613e+001	-1.019398e+000
4.556506e+001	-1.099877e+000
4.563400e+001	-1.073051e+000
4.570293e+001	-1.180356e+000
4.577186e+001	-1.073051e+000
4.584080e+001	-9.657457e-001
4.590973e+001	-1.099877e+000
4.597866e+001	-1.019398e+000
4.604760e+001	-1.019398e+000
4.611653e+001	-1.126703e+000
4.618546e+001	-1.099877e+000
4.625440e+001	-1.073051e+000
4.632333e+001	-1.073051e+000
4.639226e+001	-1.019398e+000
4.646120e+001	-1.019398e+000
4.653013e+001	-1.073051e+000
4.659906e+001	-1.180356e+000
4.666800e+001	-1.234008e+000
4.673693e+001	-1.180356e+000
4.680586e+001	-9.925719e-001
4.687480e+001	-9.925719e-001
4.694373e+001	-1.099877e+000
4.701266e+001	-1.126703e+000
4.708160e+001	-1.126703e+000
4.715053e+001	-1.073051e+000
4.721946e+001	-1.099877e+000
4.728840e+001	-1.019398e+000
4.735733e+001	-1.099877e+000
4.742626e+001	-9.925719e-001
4.749520e+001	-1.073051e+000
4.756413e+001	-1.046224e+000
4.763306e+001	-1.099877e+000
4.770200e+001	-1.073051e+000
4.777093e+001	-1.099877e+000
4.783986e+001	-1.046224e+000
4.790880e+001	-1.046224e+000
4.797773e+001	-1.073051e+000
4.804666e+001	-1.019398e+000
4.811560e+001	-1.046224e+000
4.818453e+001	-9.925719e-001
4.825346e+001	-9.657457e-001
4.832239e+001	-1.019398e+000
4.839133e+001	-1.126703e+000
4.846026e+001	-1.180356e+000
4.852919e+001	-1.073051e+000
4.859813e+001	-1.099877e+000
4.866706e+001	-1.019398e+000
4.873599e+001	-1.099877e+000
4.880493e+001	-1.126703e+000
4.887386e+001	-1.126703e+000
4.894279e+001	-1.073051e+000
4.901173e+001	-1.019398e+000
4.908066e+001	-1.234008e+000
4.914959e+001	-1.180356e+000
4.921853e+001	-1.019398e+000
4.928746e+001	-1.019398e+000
4.935639e+001	-1.073051e+000
4.942533e+001	-1.046224e+000
4.949426e+001	-1.180356e+000
4.956319e+001	-1.180356e+000
4.963213e+001	-1.126703e+000
4.970106e+001	-1.073051e+000
4.976999e+001	-1.099877e+000
4.983893e+001	-1.207182e+000
4.990786e+001	-1.073051e+000
4.997679e+001	-1.019398e+000
5.004573e+001	-9.389194e-001
5.011466e+001	-9.925719e-001
5.018359e+001	-9.925719e-001
5.025253e+001	-1.099877e+000
5.032146e+001	-1.287661e+000
5.039039e+001	-1.260835e+000
5.045933e+001	-1.046224e+000
5.052826e+001	-1.046224e+000
5.059719e+001	-1.153529e+000
5.066613e+001	-1.180356e+000
5.073506e+001	-1.126703e+000
5.080399e+001	-1.099877e+000
5.087293e+001	-1.099877e+000
5.094186e+001	-1.180356e+000
5.101079e+001	-1.180356e+000
5.107973e+001	-1.073051e+000
5.114866e+001	-1.126703e+000
5.121759e+001	-1.153529e+000
5.128653e+001	-1.153529e+000
5.135546e+001	-1.126703e+000
5.142439e+001	-1.099877e+000
5.149333e+001	-1.207182e+000
5.156226e+001	-1.180356e+000
5.163119e+001	-1.126703e+000
5.170013e+001	-1.073051e+000
5.176906e+001	-1.019398e+000
5.183799e+001	-1.046224e+000
5.190693e+001	-1.126703e+000
5.197586e+001	-1.046224e+000
5.204479e+001	-1.126703e+000
5.211373e+001	-1.260835e+000
5.218266e+001	-1.180356e+000
5.225159e+001	-1.046224e+000
5.232053e+001	-1.073051e+000
5.238946e+001	-1.234008e+000
5.245839e+001	-1.234008e+000
5.252733e+001	-1.207182e+000
5.259626e+001	-1.207182e+000
5.266519e+001	-1.126703e+000
5.273413e+001	-1.099877e+000
5.280306e+001	-1.180356e+000
5.287199e+001	-1.099877e+000
5.294093e+001	-1.073051e+000
5.300986e+001	-1.073051e+000
5.307879e+001	-1.099877e+000
5.314773e+001	-1.207182e+000
5.321666e+001	-1.180356e+000
5.328559e+001	-1.099877e+000
5.335453e+001	-1.019398e+000
5.342346e+001	-1.234008e+000
5.349239e+001	-1.207182e+000
5.356133e+001	-1.126703e+000
5.363026e+001	-1.019398e+000
5.369919e+001	-1.046224e+000
5.376813e+001	-9.389194e-001
5.383706e+001	-1.073051e+000
5.390599e+001	-1.180356e+000
5.397493e+001	-1.073051e+000
5.404386e+001	-1.099877e+000
5.411279e+001	-1.234008e+000
5.418173e+001	-1.126703e+000
5.425066e+001	-1.126703e+000
5.431959e+001	-1.260835e+000
5.438853e+001	-1.180356e+000
5.445746e+001	-1.153529e+000
5.452639e+001	-1.073051e+000
5.459533e+001	-1.073051e+000
5.466426e+001	-1.099877e+000
5.473319e+001	-1.099877e+000
5.480213e+001	-1.046224e+000
5.487106e+001	-1.099877e+000
5.493999e+001	-1.153529e+000
5.500893e+001	-1.153529e+000
5.507786e+001	-1.099877e+000
5.514679e+001	-1.046224e+000
5.521573e+001	-1.180356e+000
5.528466e+001	-1.260835e+000
5.535359e+001	-1.287661e+000
5.542253e+001	-1.234008e+000
5.549146e+001	-1.126703e+000
5.556039e+001	-1.153529e+000
5.562933e+001	-1.099877e+000
5.569826e+001	-1.073051e+000
5.576719e+001	-9.925719e-001
5.583613e+001	-1.073051e+000
5.590506e+001	-1.046224e+000
5.597399e+001	-1.099877e+000
5.604292e+001	-1.073051e+000
5.611186e+001	-1.207182e+000
5.618079e+001	-1.126703e+000
5.624972e+001	-1.126703e+000
5.631866e+001	-1.046224e+000
5.638759e+001	-1.073051e+000
5.645652e+001	-1.153529e+000
5.652546e+001	-1.126703e+000
5.659439e+001	-1.073051e+000
