    µm         	nm
1.083399e-001	2.868876e+000
1.085623e-001	2.928644e+000
1.087848e-001	2.868876e+000
1.090073e-001	2.838992e+000
1.092297e-001	2.928644e+000
1.094522e-001	2.928644e+000
1.096747e-001	2.898760e+000
1.098971e-001	2.868876e+000
1.101196e-001	2.898760e+000
1.103420e-001	2.868876e+000
1.105645e-001	2.898760e+000
1.107870e-001	2.898760e+000
1.110094e-001	2.898760e+000
1.112319e-001	2.868876e+000
1.114544e-001	2.928644e+000
1.116768e-001	2.928644e+000
1.118993e-001	2.868876e+000
1.121218e-001	2.898760e+000
1.123442e-001	2.838992e+000
1.125667e-001	2.868876e+000
1.127891e-001	2.928644e+000
1.130116e-001	2.868876e+000
1.132341e-001	2.868876e+000
1.134565e-001	2.898760e+000
1.136790e-001	2.868876e+000
1.139015e-001	2.838992e+000
1.141239e-001	2.868876e+000
1.143464e-001	2.868876e+000
1.145689e-001	2.838992e+000
1.147913e-001	2.868876e+000
1.150138e-001	2.898760e+000
1.152362e-001	2.838992e+000
1.154587e-001	2.898760e+000
1.156812e-001	2.868876e+000
1.159036e-001	2.868876e+000
1.161261e-001	2.868876e+000
1.163486e-001	2.868876e+000
1.165710e-001	2.838992e+000
1.167935e-001	2.898760e+000
1.170160e-001	2.868876e+000
1.172384e-001	2.898760e+000
1.174609e-001	2.809108e+000
1.176833e-001	2.809108e+000
1.179058e-001	2.838992e+000
1.181283e-001	2.838992e+000
1.183507e-001	2.868876e+000
1.185732e-001	2.898760e+000
1.187957e-001	2.868876e+000
1.190181e-001	2.868876e+000
1.192406e-001	2.868876e+000
1.194631e-001	2.868876e+000
1.196855e-001	2.868876e+000
1.199080e-001	2.868876e+000
1.201304e-001	2.898760e+000
1.203529e-001	2.838992e+000
1.205753e-001	2.928644e+000
1.207978e-001	2.898760e+000
1.210202e-001	2.928644e+000
1.212427e-001	2.868876e+000
1.214652e-001	2.838992e+000
1.216876e-001	2.868876e+000
1.219101e-001	2.868876e+000
1.221325e-001	2.868876e+000
1.223550e-001	2.838992e+000
1.225774e-001	2.898760e+000
1.227999e-001	2.868876e+000
1.230224e-001	2.898760e+000
1.232448e-001	2.868876e+000
1.234673e-001	2.838992e+000
1.236897e-001	2.868876e+000
1.239122e-001	2.898760e+000
1.241346e-001	2.868876e+000
1.243571e-001	2.868876e+000
1.245796e-001	2.868876e+000
1.248020e-001	2.898760e+000
1.250245e-001	2.928644e+000
1.252469e-001	2.838992e+000
1.254694e-001	2.868876e+000
1.256918e-001	2.868876e+000
1.259143e-001	2.838992e+000
1.261368e-001	2.898760e+000
1.263592e-001	2.928644e+000
1.265817e-001	2.868876e+000
1.268041e-001	2.838992e+000
1.270266e-001	2.868876e+000
1.272490e-001	2.838992e+000
1.274715e-001	2.838992e+000
1.276940e-001	2.868876e+000
1.279164e-001	2.868876e+000
1.281389e-001	2.898760e+000
1.283613e-001	2.868876e+000
1.285838e-001	2.898760e+000
1.288062e-001	2.898760e+000
1.290287e-001	2.898760e+000
1.292511e-001	2.868876e+000
1.294736e-001	2.898760e+000
1.296961e-001	2.838992e+000
1.299185e-001	2.898760e+000
1.301410e-001	2.898760e+000
1.303634e-001	2.898760e+000
1.305859e-001	2.868876e+000
