    nm         	nm
6.514271e+001	-2.487998e+000
6.525759e+001	-2.459400e+000
6.537248e+001	-2.487998e+000
6.548737e+001	-2.545193e+000
6.560226e+001	-2.430802e+000
6.571715e+001	-2.516595e+000
6.583203e+001	-2.516595e+000
6.594692e+001	-2.573791e+000
6.606181e+001	-2.545193e+000
6.617670e+001	-2.545193e+000
6.629158e+001	-2.516595e+000
6.640647e+001	-2.545193e+000
6.652136e+001	-2.516595e+000
6.663625e+001	-2.487998e+000
6.675113e+001	-2.573791e+000
6.686602e+001	-2.573791e+000
6.698091e+001	-2.487998e+000
6.709580e+001	-2.516595e+000
6.721069e+001	-2.516595e+000
6.732557e+001	-2.487998e+000
6.744046e+001	-2.487998e+000
6.755535e+001	-2.459400e+000
6.767024e+001	-2.602389e+000
6.778512e+001	-2.545193e+000
6.790001e+001	-2.430802e+000
6.801490e+001	-2.516595e+000
6.812979e+001	-2.487998e+000
6.824467e+001	-2.487998e+000
6.835956e+001	-2.487998e+000
6.847445e+001	-2.459400e+000
6.858934e+001	-2.602389e+000
6.870422e+001	-2.516595e+000
6.881911e+001	-2.487998e+000
6.893400e+001	-2.487998e+000
6.904889e+001	-2.516595e+000
6.916378e+001	-2.516595e+000
6.927866e+001	-2.516595e+000
6.939355e+001	-2.545193e+000
6.950844e+001	-2.545193e+000
6.962333e+001	-2.516595e+000
6.973821e+001	-2.516595e+000
6.985310e+001	-2.573791e+000
6.996799e+001	-2.487998e+000
7.008288e+001	-2.459400e+000
7.019776e+001	-2.487998e+000
7.031265e+001	-2.487998e+000
7.042754e+001	-2.545193e+000
7.054243e+001	-2.545193e+000
7.065731e+001	-2.545193e+000
7.077220e+001	-2.459400e+000
7.088709e+001	-2.487998e+000
7.100198e+001	-2.516595e+000
7.111687e+001	-2.487998e+000
7.123175e+001	-2.487998e+000
7.134664e+001	-2.545193e+000
7.146153e+001	-2.459400e+000
7.157642e+001	-2.459400e+000
7.169130e+001	-2.487998e+000
7.180619e+001	-2.487998e+000
7.192108e+001	-2.516595e+000
7.203597e+001	-2.487998e+000
7.215085e+001	-2.545193e+000
7.226574e+001	-2.459400e+000
7.238063e+001	-2.430802e+000
7.249552e+001	-2.516595e+000
7.261040e+001	-2.487998e+000
7.272529e+001	-2.487998e+000
7.284018e+001	-2.487998e+000
7.295507e+001	-2.459400e+000
7.306996e+001	-2.516595e+000
7.318484e+001	-2.516595e+000
7.329973e+001	-2.516595e+000
7.341462e+001	-2.545193e+000
7.352951e+001	-2.487998e+000
7.364439e+001	-2.516595e+000
7.375928e+001	-2.516595e+000
7.387417e+001	-2.573791e+000
7.398906e+001	-2.545193e+000
7.410394e+001	-2.487998e+000
7.421883e+001	-2.516595e+000
7.433372e+001	-2.516595e+000
7.444861e+001	-2.516595e+000
7.456349e+001	-2.487998e+000
7.467838e+001	-2.487998e+000
7.479327e+001	-2.516595e+000
7.490816e+001	-2.545193e+000
7.502305e+001	-2.487998e+000
7.513793e+001	-2.487998e+000
7.525282e+001	-2.516595e+000
7.536771e+001	-2.516595e+000
7.548260e+001	-2.459400e+000
7.559748e+001	-2.545193e+000
7.571237e+001	-2.487998e+000
7.582726e+001	-2.516595e+000
7.594215e+001	-2.430802e+000
7.605703e+001	-2.487998e+000
7.617192e+001	-2.573791e+000
7.628681e+001	-2.516595e+000
7.640170e+001	-2.487998e+000
7.651659e+001	-2.545193e+000
7.663147e+001	-2.573791e+000
7.674636e+001	-2.516595e+000
7.686125e+001	-2.545193e+000
7.697614e+001	-2.573791e+000
7.709102e+001	-2.487998e+000
7.720591e+001	-2.516595e+000
7.732080e+001	-2.602389e+000
7.743569e+001	-2.573791e+000
7.755057e+001	-2.459400e+000
7.766546e+001	-2.573791e+000
7.778035e+001	-2.545193e+000
7.789524e+001	-2.545193e+000
7.801012e+001	-2.602389e+000
7.812501e+001	-2.573791e+000
7.823990e+001	-2.459400e+000
7.835479e+001	-2.545193e+000
7.846968e+001	-2.487998e+000
7.858456e+001	-2.545193e+000
7.869945e+001	-2.573791e+000
7.881434e+001	-2.487998e+000
7.892923e+001	-2.516595e+000
7.904411e+001	-2.516595e+000
7.915900e+001	-2.545193e+000
7.927389e+001	-2.545193e+000
7.938878e+001	-2.573791e+000
7.950366e+001	-2.516595e+000
7.961855e+001	-2.516595e+000
7.973344e+001	-2.516595e+000
7.984833e+001	-2.487998e+000
7.996321e+001	-2.487998e+000
8.007810e+001	-2.545193e+000
8.019299e+001	-2.487998e+000
8.030788e+001	-2.516595e+000
8.042277e+001	-2.545193e+000
8.053765e+001	-2.545193e+000
8.065254e+001	-2.602389e+000
8.076743e+001	-2.602389e+000
8.088232e+001	-2.459400e+000
8.099720e+001	-2.545193e+000
8.111209e+001	-2.516595e+000
8.122698e+001	-2.545193e+000
8.134187e+001	-2.573791e+000
8.145675e+001	-2.516595e+000
8.157164e+001	-2.516595e+000
8.168653e+001	-2.516595e+000
8.180142e+001	-2.545193e+000
8.191630e+001	-2.516595e+000
8.203119e+001	-2.487998e+000
8.214608e+001	-2.459400e+000
8.226097e+001	-2.516595e+000
8.237586e+001	-2.516595e+000
8.249074e+001	-2.487998e+000
8.260563e+001	-2.516595e+000
8.272052e+001	-2.545193e+000
8.283541e+001	-2.516595e+000
8.295029e+001	-2.487998e+000
8.306518e+001	-2.573791e+000
8.318007e+001	-2.573791e+000
8.329496e+001	-2.487998e+000
8.340984e+001	-2.430802e+000
8.352473e+001	-2.516595e+000
8.363962e+001	-2.487998e+000
8.375451e+001	-2.545193e+000
8.386939e+001	-2.487998e+000
8.398428e+001	-2.487998e+000
8.409917e+001	-2.573791e+000
8.421406e+001	-2.487998e+000
8.432895e+001	-2.430802e+000
8.444383e+001	-2.459400e+000
8.455872e+001	-2.516595e+000
8.467361e+001	-2.487998e+000
8.478850e+001	-2.545193e+000
8.490338e+001	-2.516595e+000
8.501827e+001	-2.516595e+000
8.513316e+001	-2.487998e+000
8.524805e+001	-2.487998e+000
8.536293e+001	-2.573791e+000
8.547782e+001	-2.516595e+000
8.559271e+001	-2.545193e+000
8.570760e+001	-2.516595e+000
8.582249e+001	-2.545193e+000
8.593737e+001	-2.487998e+000
8.605226e+001	-2.487998e+000
8.616715e+001	-2.516595e+000
8.628204e+001	-2.487998e+000
8.639692e+001	-2.545193e+000
8.651181e+001	-2.545193e+000
8.662670e+001	-2.516595e+000
8.674159e+001	-2.487998e+000
8.685647e+001	-2.573791e+000
8.697136e+001	-2.487998e+000
8.708625e+001	-2.545193e+000
8.720114e+001	-2.545193e+000
8.731602e+001	-2.487998e+000
8.743091e+001	-2.487998e+000
8.754580e+001	-2.545193e+000
8.766069e+001	-2.516595e+000
8.777558e+001	-2.459400e+000
8.789046e+001	-2.459400e+000
8.800535e+001	-2.430802e+000
8.812024e+001	-2.459400e+000
8.823513e+001	-2.516595e+000
8.835001e+001	-2.545193e+000
8.846490e+001	-2.487998e+000
8.857979e+001	-2.516595e+000
8.869468e+001	-2.545193e+000
8.880956e+001	-2.545193e+000
8.892445e+001	-2.487998e+000
8.903934e+001	-2.487998e+000
8.915423e+001	-2.516595e+000
8.926911e+001	-2.487998e+000
8.938400e+001	-2.516595e+000
8.949889e+001	-2.487998e+000
8.961378e+001	-2.602389e+000
8.972867e+001	-2.545193e+000
8.984355e+001	-2.516595e+000
8.995844e+001	-2.573791e+000
9.007333e+001	-2.573791e+000
9.018822e+001	-2.516595e+000
9.030310e+001	-2.430802e+000
9.041799e+001	-2.459400e+000
9.053288e+001	-2.487998e+000
9.064777e+001	-2.459400e+000
9.076265e+001	-2.487998e+000
9.087754e+001	-2.487998e+000
9.099243e+001	-2.487998e+000
9.110732e+001	-2.487998e+000
9.122220e+001	-2.545193e+000
9.133709e+001	-2.573791e+000
9.145198e+001	-2.516595e+000
9.156687e+001	-2.487998e+000
9.168176e+001	-2.545193e+000
9.179664e+001	-2.545193e+000
9.191153e+001	-2.516595e+000
9.202642e+001	-2.545193e+000
9.214131e+001	-2.573791e+000
9.225619e+001	-2.516595e+000
9.237108e+001	-2.516595e+000
9.248597e+001	-2.602389e+000
9.260086e+001	-2.573791e+000
9.271574e+001	-2.545193e+000
9.283063e+001	-2.402205e+000
9.294552e+001	-2.487998e+000
9.306041e+001	-2.516595e+000
9.317530e+001	-2.573791e+000
9.329018e+001	-2.516595e+000
9.340507e+001	-2.487998e+000
9.351996e+001	-2.430802e+000
9.363485e+001	-2.516595e+000
9.374973e+001	-2.516595e+000
9.386462e+001	-2.459400e+000
9.397951e+001	-2.487998e+000
9.409440e+001	-2.487998e+000
9.420928e+001	-2.430802e+000
9.432417e+001	-2.487998e+000
